,transaction_id,user_id,product,quantity,price,timestamp
0,1bf49e15-85a4-446f-a574-b2d62130c84c,4719ac7c-ec90-4043-8b9f-c680f9a3f856,commercial,3,654,2024-06-06 08:56:04.403255
1,a29fc6f0-b85e-4d4a-ae1a-309f76501b33,0a8d8e5d-d549-4644-91d6-36ea9e3492ee,ready,4,354,2024-09-09 01:46:03.904793
2,ccd03472-24af-45db-b0f8-ed0e89822228,946fc10c-3f1d-4c5b-84ea-bf0244820992,hand,2,519,2024-02-06 12:36:53.288563
3,19a90437-7c50-4377-b8e9-ff4b1401ab59,f4b19767-c902-484f-8a82-ec675893573c,control,3,249,2024-07-22 01:25:59.040331
4,3809f67b-5b2d-4ab2-8813-0ace0956b0f8,b1d68bc1-31b1-4256-a3c5-2f2281475202,modern,1,734,2024-08-25 12:02:15.258333
5,b17fd8da-4c73-4f85-8704-96d5f598e2bb,8029f4a6-ca6c-449a-bba7-4535e3d5529d,nearly,1,171,2024-04-01 21:00:46.737839
6,78c70315-ffe3-4549-b85a-2b061ee28234,220e2406-b3cc-4ceb-a954-72539b6a51b8,human,1,802,2024-04-15 18:37:34.594905
7,18713b32-1f9f-4c25-8da4-81cda3ee2a18,fe810971-715d-4918-b31c-d5cfe0145f1b,my,5,25,2024-06-10 22:45:09.698523
8,e297c74e-2447-423b-8da8-545f8831c978,5e059369-afc1-4d2c-bed4-540b1599b64d,should,4,465,2024-08-02 10:58:56.824255
9,f88c6718-cc88-4dfa-92e1-5857a4d2bde3,2769c5a1-f6c9-4c89-b6b2-f16fee81081a,affect,2,545,2024-09-20 08:11:11.379107
10,f56b3813-e100-4b84-a3b5-64816288c84e,b3e0b253-51bb-4b09-b54e-8e1fea176a75,cut,3,373,2024-09-18 01:43:09.903698
11,0aa11eef-5d53-4dce-810f-30ff416e0834,08ba8d79-c621-47b4-8b60-1fff74f829bb,present,1,524,2024-01-26 10:58:58.514657
12,5220b43e-1440-4206-989c-8a442fc2d9be,1e57c3b1-c67c-450a-b415-f23e01bd8a1c,week,2,35,2024-11-03 23:40:18.034443
13,c3257002-0750-441c-845d-9d5e546f259f,6519138a-4283-4d8d-a455-116094117272,off,4,380,2024-06-08 12:39:21.223366
14,bbb9ff6a-d5ea-4244-b56c-d9dcf9ee18b5,9370b9b7-45b0-4d1a-b981-7862d6521553,seem,4,539,2024-04-18 09:46:43.821540
15,dfba2faf-cc6e-4c82-a595-c795f101ffef,da1bd659-1f16-44db-99e3-5f907c82d6f3,true,3,198,2024-07-12 22:18:59.743887
16,79fa3773-a2b2-4251-a861-4aa36b31c170,cf8b18ee-e235-407f-9974-782e5b16d6e3,laugh,5,857,2024-04-26 10:24:22.408113
